T	38.671710000	-119.663150000	2281.2		
T	38.671670000	-119.663090000	2281.9		
T	38.671620000	-119.663000000	2282.5		
T	38.671610000	-119.662910000	2283.9		
T	38.671600000	-119.662830000	2284.8		
T	38.671600000	-119.662710000	2286.1		
T	38.671600000	-119.662550000	2286.8		
T	38.671640000	-119.662330000	2287.5		
T	38.671670000	-119.662120000	2288.3		
T	38.671680000	-119.661990000	2289.8		
T	38.671660000	-119.661880000	2290.9		
T	38.671600000	-119.661710000	2292.3		
T	38.671510000	-119.661570000	2292.9		
T	38.671250000	-119.661220000	2297.0		
T	38.671150000	-119.661050000	2298.5		
T	38.671110000	-119.660950000	2298.9		
T	38.671080000	-119.660840000	2299.2		
T	38.671070000	-119.660750000	2299.6		
T	38.671070000	-119.660670000	2299.9		
T	38.671070000	-119.660600000	2300.1		
T	38.671070000	-119.660530000	2300.1		
T	38.671080000	-119.660450000	2300.2		
T	38.671100000	-119.660350000	2300.3		
T	38.671130000	-119.660250000	2300.4		
T	38.671200000	-119.660120000	2301.3		
T	38.672810000	-119.658070000	2323.5		
T	38.673200000	-119.657560000	2328.9		
T	38.673380000	-119.657310000	2331.4		
T	38.673450000	-119.657200000	2333.0		
T	38.673500000	-119.657040000	2334.5		
T	38.673530000	-119.656910000	2335.7		
T	38.673540000	-119.656780000	2336.6		
T	38.673530000	-119.656630000	2336.0		
T	38.673530000	-119.656540000	2337.1		
T	38.673490000	-119.656360000	2336.6		
T	38.673350000	-119.656050000	2335.1		
T	38.673180000	-119.655770000	2336.0		
T	38.672890000	-119.655310000	2338.6		
T	38.672750000	-119.655120000	2339.4		
T	38.672680000	-119.655030000	2340.5		
T	38.672260000	-119.654710000	2341.1		
T	38.672010000	-119.654540000	2341.9		
T	38.671820000	-119.654390000	2342.9		
T	38.671620000	-119.654220000	2348.9		
T	38.671470000	-119.654090000	2350.7		
T	38.671400000	-119.654010000	2351.1		
T	38.671330000	-119.653930000	2351.5		
T	38.671230000	-119.653790000	2352.6		
T	38.671050000	-119.653460000	2357.1		
T	38.670850000	-119.653020000	2361.0		
T	38.670740000	-119.652850000	2361.2		
T	38.670650000	-119.652760000	2362.0		
T	38.670510000	-119.652640000	2363.6		
T	38.670400000	-119.652570000	2364.4		
T	38.670250000	-119.652500000	2364.7		
T	38.670130000	-119.652430000	2365.2		
T	38.669920000	-119.652320000	2369.0		
T	38.669800000	-119.652230000	2370.9		
T	38.669710000	-119.652140000	2371.8		
T	38.669660000	-119.652070000	2372.3		
T	38.669570000	-119.651900000	2373.7		
T	38.669520000	-119.651740000	2374.9		
T	38.669460000	-119.651460000	2377.0		
T	38.669420000	-119.651060000	2380.7		
T	38.669320000	-119.650430000	2385.0		
T	38.669310000	-119.650390000	2385.9		
T	38.669240000	-119.649970000	2387.2		
T	38.669180000	-119.649770000	2387.3		
T	38.669090000	-119.649540000	2387.1		
T	38.668990000	-119.649410000	2386.2		
T	38.668900000	-119.649320000	2386.1		
T	38.668790000	-119.649270000	2385.9		
T	38.668610000	-119.649180000	2386.8		
T	38.668370000	-119.649100000	2387.2		
T	38.668210000	-119.649040000	2387.4		
T	38.668060000	-119.648950000	2389.5		
T	38.667960000	-119.648850000	2392.7		
T	38.667750000	-119.648560000	2396.6		
T	38.667470000	-119.648060000	2400.5		
T	38.667250000	-119.647660000	2402.3		
T	38.667090000	-119.647310000	2405.0		
T	38.666940000	-119.646990000	2406.9		
T	38.666860000	-119.646790000	2408.0		
T	38.666840000	-119.646720000	2408.4		
T	38.666820000	-119.646600000	2409.2		
T	38.666800000	-119.646320000	2410.9		
T	38.666790000	-119.645940000	2412.4		
T	38.666770000	-119.645740000	2412.7		
T	38.666720000	-119.645570000	2411.9		
T	38.666630000	-119.645320000	2410.7		
T	38.666540000	-119.645160000	2410.6		
T	38.666470000	-119.645060000	2410.8		
T	38.666390000	-119.644980000	2411.7		
T	38.666120000	-119.644680000	2416.1		
T	38.665960000	-119.644520000	2417.2		
T	38.665860000	-119.644390000	2417.9		
T	38.665740000	-119.644140000	2419.4		
T	38.665640000	-119.643820000	2421.7		
T	38.665610000	-119.643540000	2423.9		
T	38.665580000	-119.643270000	2426.1		
T	38.665510000	-119.642880000	2430.3		
T	38.665430000	-119.642530000	2434.9		
T	38.665380000	-119.642370000	2437.4		
T	38.665330000	-119.642290000	2439.0		
T	38.665000000	-119.641870000	2442.7		
T	38.664600000	-119.641330000	2446.8		
T	38.664450000	-119.641090000	2449.5		
T	38.664330000	-119.640910000	2452.2		
T	38.664270000	-119.640770000	2454.1		
T	38.664220000	-119.640600000	2455.8		
T	38.664200000	-119.640400000	2457.3		
T	38.664200000	-119.640270000	2458.1		
T	38.664240000	-119.640130000	2458.3		
T	38.664300000	-119.639970000	2458.7		
T	38.664350000	-119.639830000	2459.4		
T	38.664440000	-119.639700000	2460.1		
T	38.664560000	-119.639540000	2462.2		
T	38.664700000	-119.639420000	2464.3		
T	38.664860000	-119.639360000	2465.4		
T	38.665150000	-119.639230000	2467.7		
T	38.665350000	-119.639140000	2469.4		
T	38.665800000	-119.638930000	2472.6		
T	38.665960000	-119.638840000	2473.0		
T	38.666080000	-119.638720000	2473.2		
